patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,good_matches,blur,flow
31,14,1.2,8,0,1058,1058,118,106.37205125980289,5.2837534
31,14,1.2,8,0,1003,1003,134,127.6938785028376,5.250659
31,14,1.2,8,0,1003,1003,130,103.9102322461999,5.7946277
31,14,1.2,8,0,1002,1002,147,117.1180503984,4.9537024
31,14,1.2,8,0,962,962,93,105.86169082030527,6.897539
31,14,1.2,8,0,1001,1001,104,127.6880383979426,5.776535
31,14,1.2,8,0,1036,1036,200,104.84490921014351,3.7137902
31,14,1.2,8,0,1011,1011,119,116.86702558459193,5.398903
31,14,1.2,8,0,963,963,163,107.05000435623629,4.042726
31,14,1.2,8,0,968,968,133,130.00986721843734,4.3357773
31,14,1.2,8,0,937,937,143,108.18931286698545,4.183426
31,14,1.2,8,0,988,988,165,115.35550422494705,4.8908467
31,14,1.2,8,0,926,926,137,105.36430999939155,5.0686235
31,14,1.2,8,0,945,945,118,125.91399123107381,5.1594596
31,14,1.2,8,0,891,891,147,106.23137429136868,4.2451754
31,14,1.2,8,0,923,923,143,117.14966019235992,4.9117665
31,14,1.2,8,0,930,930,138,106.28030013167594,4.7142363
31,14,1.2,8,0,971,971,168,132.37045527908103,4.032787
31,14,1.2,8,0,981,981,142,110.66732061245116,4.842402
31,14,1.2,8,0,971,971,149,120.88951433726535,5.127929
31,14,1.2,8,0,961,961,190,115.0234330949378,3.4826212
31,14,1.2,8,0,1020,1020,162,138.85024017549418,4.3807244
31,14,1.2,8,0,957,957,135,114.17913149386948,4.3820095
31,14,1.2,8,0,987,987,171,122.22172787446291,4.7601113
31,14,1.2,8,0,1019,1019,215,113.57516549628147,3.4726393
31,14,1.2,8,0,1000,1000,170,134.98796858411092,4.362883
31,14,1.2,8,0,1007,1007,199,116.88502877596828,3.5623457
31,14,1.2,8,0,1014,1014,125,123.87255634248227,5.6837354
31,14,1.2,8,0,961,961,179,116.7558688632395,3.5147169
31,14,1.2,8,0,1024,1024,194,136.941908767392,3.7398474
31,14,1.2,8,0,1036,1036,188,117.198631807374,4.048378
31,14,1.2,8,0,1003,1003,168,127.85908498793107,4.206865
31,14,1.2,8,0,960,960,162,115.04500278604283,4.6556354
31,14,1.2,8,0,1020,1020,206,138.32248449843087,3.4998875
31,14,1.2,8,0,981,981,148,119.00814253990931,6.223677
31,14,1.2,8,0,1020,1020,183,126.24855897160448,3.7092514
31,14,1.2,8,0,977,977,162,114.26758975072839,3.7916145
31,14,1.2,8,0,1003,1003,198,138.0891786744214,4.345794
